from;to;length;latFrom;lonFrom;latTo;lonTo;surface
32738;32739;6.324555320336759;49.904313;14.394073;49.904359;14.394034;12.649110640673518
57314;57320;5.0;49.913833;14.075327;49.913874;14.075287;10.0
66131;46192;212.15613083276097;49.923703;14.310861;49.923551;14.307968;424.31226166552193
24819;16127;161.9917105857355;49.911996;14.299459;49.912882;14.301233;323.983421171471
24819;16122;144.04856820363966;49.911996;14.299459;49.912637;14.297859;288.0971364072793
24550;24463;124.20114977458064;49.890323;14.326964;49.89023;14.325257;248.40229954916128
32739;32738;6.324555320336759;49.904359;14.394034;49.904313;14.394073;12.649110640673518
41289;29838;4.47213595499958;50.011584;14.384364;50.011622;14.384389;8.94427190999916
16351;16504;305.5032016471542;49.898426;14.258838;49.900764;14.257026;611.0064032943084
16083;24815;149.80986527456758;49.910799;14.298001;49.910653;14.296281;299.61973054913517
40931;40940;361.261512906754;49.955919;14.316242;49.953659;14.312745;722.523025813508
24551;24456;114.09655340136601;49.888919;14.324781;49.88804;14.324515;228.19310680273202
16358;16322;368.8305070368097;49.898879;14.261188;49.897628;14.265825;737.6610140736194
24551;24474;37.21146914276338;49.888919;14.324781;49.889088;14.324358;74.42293828552675
24552;24456;25.495097567963924;49.887811;14.324491;49.88804;14.324515;50.99019513592785
41291;29839;37.95851847557427;50.011605;14.386253;50.011721;14.386725;75.91703695114855
16358;16351;178.23503716092935;49.898879;14.261188;49.898426;14.258838;356.4700743218587
15856;31903;41.68472356036817;50.016457;14.147573;50.016535;14.148119;83.36944712073634
24552;24501;84.55156847963298;49.887811;14.324491;49.887051;14.324426;169.10313695926595
57320;57314;5.0;49.913874;14.075287;49.913833;14.075327;10.0
65510;65523;76.95547006440172;50.014106;14.328342;50.014677;14.328042;153.91094012880345
65510;65524;320.2908370125239;50.014106;14.328342;50.014677;14.332033;640.5816740250478
57320;57301;30.112745081186688;49.913874;14.075287;49.913779;14.07498;60.225490162373376
24551;24580;113.9135031918432;49.888919;14.324781;49.888643;14.326274;227.8270063836864
14514;73581;170.63818434589413;49.922736;14.296257;49.923637;14.294418;511.91455303768237
14515;73581;196.48819355750973;49.92377;14.297099;49.923637;14.294418;392.97638711501946
57859;40619;594.2148400891081;49.982443;14.399335;49.98755;14.401788;594.2148400891081
16088;24809;24.20743687382041;49.910057;14.298795;49.910211;14.298553;48.41487374764082
