from;to;length;latFrom;lonFrom;latTo;lonTo;surface
0;21020;47.0;50.259482;14.550408;50.259287;14.550988;804
1;487;128.0;50.307341;14.700482;50.30648;14.701661;3636
2;533;19.0;50.048281;14.550442;50.048307;14.550695;513
3;539;55.0;49.963359;14.707343;49.963378;14.706586;947
4;540;15.0;49.962644;14.707126;49.962627;14.706938;241
5;581;46.0;50.06685;14.550379;50.06698;14.550983;1302
6;2017;68.0;50.255414;14.550452;50.255031;14.551198;1935
7;16224;96.0;50.125633;14.616331;50.125172;14.615244;1641
8;1323;14.0;49.968067;14.550444;49.968046;14.55064;387
9;23092;25.0;50.307056;14.655594;50.306908;14.655857;707
10;15094;286.0;50.243222;14.707095;50.241414;14.704271;8134
11;18906;16.0;50.106009;14.557109;50.106;14.556898;428
11;11958;343.0;50.106009;14.557109;50.10295;14.556708;13607
11;18445;14.0;50.106009;14.557109;50.106016;14.557286;371
12;18163;13.0;50.10716;14.565589;50.107272;14.565581;207
12;15307;6.0;50.10716;14.565589;50.107113;14.565618;87
12;11749;153.0;50.10716;14.565589;50.106865;14.563507;4346
12;19305;10.0;50.10716;14.565589;50.107178;14.56571;258
13;22219;22.0;50.170211;14.707148;50.170313;14.7069;845
14;1895;104.0;50.233297;14.549554;50.233584;14.550942;2951
15;336;11.0;50.204915;14.550176;50.204966;14.55006;302
15;15869;56.0;50.204915;14.550176;50.204596;14.550767;1573
16;19657;288.0;50.072665;14.708341;50.072463;14.704334;8192
17;23605;9.0;50.104709;14.562125;50.104775;14.562101;279
17;21419;39.0;50.104709;14.562125;50.10481;14.562626;666
17;11760;20.0;50.104709;14.562125;50.104651;14.561867;334
18;23368;54.0;50.267118;14.550336;50.267451;14.550867;1527
19;2020;41.0;50.267379;14.550015;50.267492;14.550567;1157
20;2021;61.0;50.260904;14.549722;50.260973;14.550561;1035
21;23554;6.0;50.01198;14.707061;50.012014;14.706996;161
22;2056;33.0;50.013513;14.707158;50.013272;14.706905;927
