from;to;length;latFrom;lonFrom;latTo;lonTo;cycle_way
0;163;36.0;50.072039;14.49976;50.072351;14.49972;997
1;1598;40.0;50.072316;14.495764;50.072416;14.496283;1124
2;234;174.0;50.08473;14.482794;50.085176;14.485129;4957
3;236;30.0;50.088137;14.482859;50.088093;14.483271;838
4;543;5.0;50.089441;14.483207;50.089437;14.483272;117
4;5;12.0;50.089441;14.483207;50.089382;14.483075;318
5;548;12.0;50.089382;14.483075;50.089369;14.483243;324
5;4;12.0;50.089382;14.483075;50.089441;14.483207;318
6;551;3.0;50.08908;14.483226;50.089064;14.483239;57
6;28;4.0;50.08908;14.483226;50.089103;14.483208;90
7;239;12.0;50.089878;14.483194;50.089947;14.483297;324
8;127;100.0;50.090916;14.486773;50.090049;14.48716;2849
9;330;30.0;50.072291;14.48436;50.07238;14.483979;828
10;128;59.0;50.077556;14.516439;50.07752;14.517251;2960
11;363;10.0;50.072261;14.493848;50.072348;14.493876;163
12;362;39.0;50.072095;14.493032;50.072435;14.49294;655
13;375;16.0;50.072302;14.496436;50.072438;14.496405;427
14;2674;15.0;50.077635;14.507313;50.077757;14.507379;593
14;2569;6.0;50.077635;14.507313;50.077584;14.507271;297
14;1032;174.0;50.077635;14.507313;50.077757;14.509717;6887
15;1720;28.0;50.078629;14.508207;50.078841;14.508399;792
15;1030;103.0;50.078629;14.508207;50.077848;14.507465;2917
15;889;12.0;50.078629;14.508207;50.078723;14.508175;314
15;492;8.0;50.078629;14.508207;50.078587;14.508288;121
16;2191;128.0;50.071492;14.507005;50.072621;14.506803;3620
17;992;289.0;50.07071;14.507226;50.073283;14.506743;8208
18;134;6.0;50.080427;14.482617;50.080471;14.482587;167
19;415;76.0;50.077071;14.483081;50.076972;14.484114;2137
20;433;79.0;50.076241;14.482873;50.076138;14.483947;2227
20;21;30.0;50.076241;14.482873;50.075986;14.482809;829
21;439;80.0;50.075986;14.482809;50.075904;14.483918;2267
21;20;30.0;50.075986;14.482809;50.076241;14.482873;829
22;451;28.0;50.075377;14.483002;50.075397;14.483377;770
23;453;79.0;50.075226;14.482703;50.075246;14.483802;2234
24;455;25.0;50.07514;14.482995;50.075146;14.483332;689
25;457;18.0;50.075023;14.483201;50.075079;14.483429;497
26;460;56.0;50.074918;14.482978;50.07496;14.483745;1569
27;2221;35.0;50.079328;14.508753;50.079632;14.508836;984
27;2215;31.0;50.079328;14.508753;50.079077;14.508591;855
27;887;10.0;50.079328;14.508753;50.079311;14.508634;258
28;548;30.0;50.089103;14.483208;50.089369;14.483243;844
28;6;4.0;50.089103;14.483208;50.08908;14.483226;90
29;560;5.0;50.088789;14.48321;50.088785;14.483268;117
29;551;31.0;50.088789;14.48321;50.089064;14.483239;871
30;668;50.0;50.088705;14.482568;50.088644;14.483251;857
31;570;23.0;50.088617;14.483086;50.088598;14.483404;642
32;2229;10.0;50.081504;14.508195;50.08142;14.508229;258
32;875;7.0;50.081504;14.508195;50.081491;14.50811;103
32;874;48.0;50.081504;14.508195;50.081916;14.508062;1342
33;598;34.0;50.088324;14.516926;50.088341;14.516458;581
34;607;12.0;50.087607;14.516937;50.087622;14.516787;196
35;614;28.0;50.077774;14.516942;50.077793;14.516557;782
36;2804;18.0;50.082876;14.507756;50.083031;14.507709;485
36;2531;10.0;50.082876;14.507756;50.082796;14.50778;256
36;2527;15.0;50.082876;14.507756;50.082905;14.507957;400
37;2529;9.0;50.083235;14.510651;50.08316;14.510676;229
37;1077;12.0;50.083235;14.510651;50.083213;14.510803;333
37;823;17.0;50.083235;14.510651;50.083373;14.510605;456
38;2775;12.0;50.085315;14.511375;50.085219;14.511302;324
38;2113;80.0;50.085315;14.511375;50.084962;14.51216;2256
38;2112;27.0;50.085315;14.511375;50.085278;14.511046;741
38;812;94.0;50.085315;14.511375;50.085786;14.512449;2669
39;394;37.0;50.090815;14.517126;50.090648;14.516676;1047
40;132;13.0;50.072161;14.504355;50.072095;14.504206;357
40;1599;123.0;50.072161;14.504355;50.072788;14.505769;2121
41;665;47.0;50.090996;14.515007;50.090714;14.514528;1312
42;767;52.0;50.091207;14.513588;50.09074;14.513613;1460
43;768;26.0;50.090884;14.51348;50.090657;14.513461;726
44;779;82.0;50.07267;14.482792;50.072408;14.483863;2333
44;46;8.0;50.07267;14.482792;50.07272;14.482877;222
45;201;63.0;50.073109;14.482731;50.073461;14.483414;1788
45;47;34.0;50.073109;14.482731;50.072987;14.483151;948
46;206;33.0;50.07272;14.482877;50.072836;14.483295;940
46;44;8.0;50.07272;14.482877;50.07267;14.482792;222
47;781;33.0;50.072987;14.483151;50.072861;14.483567;924
47;45;34.0;50.072987;14.483151;50.073109;14.482731;948
48;2509;38.0;50.090845;14.491211;50.09071;14.491682;1075
49;2108;40.0;50.087119;14.482924;50.087067;14.483472;1127
50;2653;143.0;50.085961;14.512675;50.086973;14.511453;2463
50;1549;8.0;50.085961;14.512675;50.08601;14.512742;201
50;812;26.0;50.085961;14.512675;50.085786;14.512449;726
51;868;42.0;50.090839;14.500604;50.090698;14.501133;1173
52;908;64.0;50.077391;14.482362;50.077317;14.483239;1797
53;993;39.0;50.072319;14.508294;50.072657;14.508236;1083
54;994;61.0;50.072086;14.508087;50.072621;14.507992;1710
54;115;5.0;50.072086;14.508087;50.07209;14.508152;114
55;2497;31.0;50.087716;14.51585;50.087605;14.516231;526
55;2012;37.0;50.087716;14.51585;50.087419;14.51592;1033
55;56;261.0;50.087716;14.51585;50.089342;14.513392;7437
56;357;4.0;50.089342;14.513392;50.089334;14.513341;54
56;1697;9.0;50.089342;14.513392;50.089416;14.51338;229
56;55;261.0;50.089342;14.513392;50.087716;14.51585;7437
57;205;6.0;50.072321;14.484701;50.072366;14.484707;145
57;73;5.0;50.072321;14.484701;50.072311;14.484769;127
58;2180;63.0;50.090992;14.509543;50.090664;14.508837;1785
58;1022;108.0;50.090992;14.509543;50.090091;14.510089;3076
59;128;10.0;50.07744;14.517238;50.07752;14.517251;262
59;1040;120.0;50.07744;14.517238;50.077521;14.515562;3409
60;783;96.0;50.072975;14.482312;50.073505;14.483356;1639
61;163;54.0;50.072304;14.49898;50.072351;14.49972;914
61;119;87.0;50.072304;14.49898;50.072231;14.497776;1484
62;63;41.0;50.072134;14.500607;50.072311;14.500104;1162
62;1170;49.0;50.072134;14.500607;50.072559;14.500533;1368
63;65;16.0;50.072311;14.500104;50.072304;14.499888;431
63;62;41.0;50.072311;14.500104;50.072134;14.500607;1162
63;1170;42.0;50.072311;14.500104;50.072559;14.500533;1186
63;1165;32.0;50.072311;14.500104;50.072584;14.500059;883
64;1163;33.0;50.07217;14.502823;50.072456;14.502783;912
65;2611;7.0;50.072304;14.499888;50.072361;14.499877;171
65;63;16.0;50.072304;14.499888;50.072311;14.500104;431
66;1164;30.0;50.072079;14.503467;50.072334;14.503439;828
67;1169;27.0;50.072136;14.501484;50.072372;14.501457;743
68;1253;25.0;50.072326;14.492396;50.072415;14.492724;705
69;2191;168.0;50.071792;14.504848;50.072621;14.506803;2893
70;1505;65.0;50.071958;14.509958;50.072484;14.510352;1110
71;773;17.0;50.09007;14.513409;50.089922;14.513395;470
71;769;8.0;50.09007;14.513409;50.090068;14.51332;120
71;666;7.0;50.09007;14.513409;50.090069;14.513499;310
71;72;76.0;50.09007;14.513409;50.090749;14.513533;2142
72;144;41.0;50.090749;14.513533;50.091111;14.51353;1152
72;71;76.0;50.090749;14.513533;50.09007;14.513409;2142
73;87;5.0;50.072311;14.484769;50.072302;14.484826;117
73;57;5.0;50.072311;14.484769;50.072321;14.484701;127
